user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
AlexanderMasyk,1.3801164849748419e+18,0.0,0.0,0.0,0.0,1.3801164849748419e+18,0.0,0.0,0.0,1,1,0.0,AlexanderMasyk
Alexander_Bosse,1.4113968147424707e+18,0.0,0.0,0.0,0.0,1.4113968147424707e+18,0.0,0.0,0.0,1,1,0.0,Alexander_Bosse
AlgarJavi,1.3924922086333522e+18,0.0,0.0,0.0,0.0,1.3924922086333522e+18,0.0,0.0,0.0,1,1,0.0,AlgarJavi
Ali999919,1.3734151728622633e+18,1.0,0.0,1.0,0.0,1.3734151728622633e+18,0.0,0.0,0.0,1,1,0.0,Ali999919
Alisherdividend,1.3626972984515748e+18,2.0,0.0,0.0,0.0,1.3626972984515748e+18,0.0,0.0,0.0,1,1,0.0,Alisherdividend
AllNdu,1.359230381774549e+18,0.0,0.0,1.0,0.0,1.359230381774549e+18,0.0,0.0,0.0,1,1,0.0,AllNdu
AllonsyAlonso85,2.7919610989467116e+18,0.0,0.0,1.0,0.0,2.7919610989467116e+18,0.0,0.0,0.0,2,2,0.0,AllonsyAlonso85
AlmightyMek,1.3875004541505413e+18,0.0,0.0,2.0,0.0,1.3875004541505413e+18,0.0,0.0,0.0,1,1,0.0,AlmightyMek
AlmondEye76,1.3955255929472e+18,0.0,0.0,1.0,0.0,1.3955255929472e+18,0.0,0.0,0.0,1,1,0.0,AlmondEye76
AlpOptions,2.7170788535098737e+18,0.0,0.0,0.0,1.0,2.7170788535098737e+18,0.0,0.0,0.0,2,2,0.0,AlpOptions
AlperSann,1.425086415751336e+18,0.0,2.0,2.0,0.0,1.425086415751336e+18,0.0,0.0,0.0,1,1,0.0,AlperSann
Alpha660Racing,1.3831739617735803e+18,0.0,0.0,0.0,0.0,1.3831739617735803e+18,0.0,0.0,0.0,1,1,0.0,Alpha660Racing
Alphabeams,1.435117233198416e+18,1.0,0.0,1.0,0.0,1.435117233198416e+18,0.0,0.0,0.0,1,1,0.0,Alphabeams
AlthahabBadr,1.413172518874198e+18,0.0,0.0,0.0,0.0,1.413172515980075e+18,0.0,1.4131725173012808e+18,0.0,1,1,0.0,AlthahabBadr
AlvaroTWOL,1.3623676257461453e+18,0.0,0.0,2.0,0.0,1.3623676257461453e+18,0.0,0.0,0.0,1,1,0.0,AlvaroTWOL
AlvexoFrance,1.3877448533841715e+18,0.0,0.0,1.0,0.0,1.3877448533841715e+18,0.0,0.0,0.0,1,1,0.0,AlvexoFrance
AlwaysBeChartin,1.3678361513781084e+18,0.0,0.0,0.0,0.0,1.3678361513781084e+18,0.0,0.0,0.0,1,1,0.0,AlwaysBeChartin
AlyaAkram20,5.542172654634234e+18,5.0,0.0,3.0,0.0,5.542168692111749e+18,0.0,2.769992318905639e+18,0.0,4,4,0.0,AlyaAkram20
AmadiqBale,1.413934733159846e+18,0.0,0.0,0.0,0.0,1.413934733159846e+18,0.0,0.0,0.0,1,1,0.0,AmadiqBale
AmaralMarian,8.393930310962201e+18,3.0,0.0,7.0,1.0,8.393928988103823e+18,0.0,1.387505676658819e+18,0.0,6,6,0.0,AmaralMarian
AmbassadorLAS,2.718188843045581e+18,0.0,0.0,4.0,0.0,2.718188843045581e+18,0.0,0.0,0.0,2,2,0.0,AmbassadorLAS
Amchecoeur,1.3842459737240044e+18,0.0,1.0,2.0,0.0,1.3842459737240044e+18,0.0,0.0,0.0,1,1,0.0,Amchecoeur
AmegaFinance,8.503715073830302e+18,0.0,0.0,7.0,0.0,8.503715073830302e+18,0.0,0.0,0.0,6,6,0.0,AmegaFinance
America_world1,1.4226435160150057e+18,0.0,0.0,0.0,1.0,1.4226381680928563e+18,0.0,1.4226381680928563e+18,0.0,1,1,0.0,America_world1
Amicus624,1.401938748481454e+18,0.0,0.0,0.0,0.0,1.4019275181736796e+18,0.0,1.4019275181736796e+18,0.0,1,1,0.0,Amicus624
AmigoStrategies,2.7151498356340736e+18,0.0,2.0,2.0,0.0,2.7151498356340736e+18,0.0,0.0,0.0,2,2,0.0,AmigoStrategies
AmySweetTweet,1.391852806995288e+18,1.0,0.0,0.0,0.0,1.391852806995288e+18,0.0,0.0,0.0,1,1,0.0,AmySweetTweet
AnalogicComp,1.4388426893159055e+18,0.0,1.0,0.0,0.0,1.4388426893159055e+18,0.0,0.0,0.0,1,1,0.0,AnalogicComp
AnaniaB,1.3823176737873551e+18,0.0,0.0,0.0,0.0,1.3823176737873551e+18,0.0,0.0,0.0,1,1,0.0,AnaniaB
AndreaNepori,1.387516395118805e+18,0.0,0.0,2.0,1.0,1.387516395118805e+18,0.0,0.0,1.0,1,1,100.0,AndreaNepori
